individual	Ancestry
ID_104	EUR
ID_517	EUR
ID_617	EUR
ID_737	EUR
ID_936	EUR
ID_888	EUR
ID_20	EUR
ID_258	EUR
ID_957	EUR
ID_761	EUR
ID_189	EUR
ID_486	EUR
ID_992	EUR
ID_107	EUR
ID_287	EUR
ID_956	EUR
ID_171	EUR
ID_611	EUR
ID_15	AFR
ID_200	EUR
ID_459	EUR
ID_918	EUR
ID_326	EUR
ID_735	EUR
ID_847	EUR
ID_401	EUR
ID_82	EUR
ID_128	EUR
ID_522	EUR
ID_767	EAS
ID_25	EUR
ID_597	EAS
ID_952	EUR
ID_538	EUR
ID_465	EUR
ID_210	EUR
ID_994	EUR
ID_741	EUR
ID_886	EUR
ID_733	EUR
ID_310	EUR
ID_903	EUR
ID_766	EUR
ID_618	EUR
ID_718	EUR
ID_314	EAS;SAS
ID_121	EUR
ID_307	EUR
ID_969	EUR
ID_390	EUR
ID_666	EUR
ID_859	EUR
ID_398	EUR
ID_989	EUR
ID_715	EUR
ID_65	EUR
ID_664	EUR
ID_655	EUR
ID_305	EUR
ID_563	EUR
ID_841	EUR
ID_830	EUR
ID_185	EUR
ID_842	EUR
ID_564	EUR
ID_433	EUR
ID_674	EUR
ID_510	AFR
ID_758	EUR
ID_410	EUR
ID_441	EUR
ID_214	EUR
ID_948	AMR
ID_338	EUR
ID_562	EUR
ID_431	EUR
ID_296	EUR
ID_856	EUR
ID_139	EUR
ID_801	EUR
ID_52	EUR
ID_640	EUR
ID_262	EUR
ID_810	EUR
ID_313	EUR
ID_188	EUR
ID_949	EUR
ID_184	EUR
ID_731	EUR
ID_236	EUR
ID_668	EUR
ID_473	EUR
ID_508	EUR
ID_402	EUR
ID_334	EUR
ID_896	EUR
ID_776	EUR
ID_110	EUR
ID_224	EUR
ID_331	EUR
ID_592	EUR
ID_125	EUR
ID_207	EUR
ID_861	EUR
ID_897	EUR
ID_483	SAS
ID_639	EUR
ID_574	EUR
ID_14	EUR
ID_606	AFR
ID_163	EUR
ID_773	EUR
ID_299	EUR
ID_549	EUR
ID_462	EUR
ID_535	EUR
ID_824	EUR
ID_501	EUR
ID_876	SAS
ID_346	EUR
ID_705	EUR
ID_812	EUR
ID_159	EUR
ID_721	EUR
ID_524	EUR
ID_958	AFR
ID_73	EUR
ID_45	EUR
ID_339	EUR
